id,title,genre,cast,overview,tag,language,rating,link,
116,Finding Nemo,"Animated,Family, Adventure,Kids",Director: Andrew Stanton,"After his son gets abducted from the Great Barrier Reef and is dispatched to Sydney, Marlin, a meek clownfish, enlists the help of a forgetful fish and embarks on a journey to bring him home.",english animated kids animals adventure comedy lifelessons uplifting feelgood ,English,8.2,https://movies.disney.com/finding-nemo,
117,Finding Dory,"Animated,Family, Adventure,Kids",Director: Andrew Stanton,"With vague memories of her past, an amnesiac blue tang fish, Dory, sets off in search of her long-lost parents with the help of her friends, clownfish Marlin and his son Nemo.",english animated kids animals adventure comedy lifelessons uplifting ,English,8.1,https://movies.disney.com/finding-dory,
118,Ratatouille,"Family,Comedy,Adventure,Animated,Kids",Director: Brad Bird,"Remy, a rat, aspires to become a renowned French chef. However, he fails to realise that people despise rodents and will never enjoy a meal cooked by him.",english animated kids animals adventure comedy uplifting feelgood food,English,8.1,https://movies.disney.com/ratatouille,
119,Up,"Family,Comedy,Adventure,Animated,Kids",Director: Pete Docter,"Carl, an old widower, goes off on an adventure with the help of Russell, a boy scout, in his flying house to search for Paradise Falls, his wife's dream destination.",english animated kids adventure comedy uplifting feelgood lifelessons,English,8.3,https://movies.disney.com/up,
120,Coco,"Family,Comedy,Adventure,Animated,Kids","Directors: Adrian Molina, Lee Unkrich","Despite his family's generations-old ban on music, young Miguel dreams of becoming an accomplished musician like his idol Ernesto de la Cruz. Desperate to prove his talent, Miguel finds himself in the stunning and colorful Land of the Dead. ",english animated kids adventure emotional uplifting lifelessons ,English,8.4,https://movies.disney.com/coco,
121,A Dog's Purpose,"Family,Adventure,Emotional ,Kids",Dennis Quaid,"A dog goes through four lifetimes with different owners through various time periods. During this journey, he steadily understands his real purpose",english kids adventure family emotional dogs feelgood lifelessons journey realpurpose animals,English,7.2,https://www.amazon.com/Dogs-Purpose-Britt-Robertson/dp/B06XFMBSV6,
122,A Dog's Journey,"Family,Comedy,Adventure,Emotional,Kids",Dennis Quaid,"When Bailey, a mixed breed, promises to protect his master's granddaughter, CJ, he reincarnates four times and stays by her side through thick and thin.",english kids adventure family emotional dogs feelgood lifelessons journey  resque animals,English,7.4,https://www.amazon.com/Dogs-Journey-Marg-Helgenberger/dp/B07RD887CZ,
123,Lady and the Tramp,"Family,Adventure,Emotional,Romance,Kids","Directors: Wilfred Jackson, Clyde Geronimi","Lady, a female dog, feels neglected when Jim and Darling get a baby in the house. Later, when Aunt Sarah gets her twin Siamese cats, Lady is blamed for all the havoc they wreak.",english kids adventure animated family emotional dogs lifelessons journey animals,English,8.2,https://movies.disney.com/lady-and-the-tramp,
124,Bolt,"Family,Adventure, Comedy,Kids","Directors: Byron Howard, Chris Williams",An animation adventure movie about the canine star of a fictional Sci-Fi action show that believes his powers are real and embarks on a cross-country trek to save his co-star from a threat.,english kids adventure animated family dogs lifelessons journey resque animals,English,6.8,https://disney.fandom.com/wiki/Bolt_(film),
125,101 Dalmatians,"Adventure,Crime,Comedy,Kids",Glenn Close,"Anita, a fashion designer, and Roger, a computer game writer, have to rescue the puppies of their dalmatians from Cruella De Vil, an insane woman, who wants to use their fur to make a coat.",english kids adventure family emotional dogs  journey  animals friendship,English,5.7,https://disney.fandom.com/wiki/101_Dalmatians_(1996_film),
126,102 Dalmatians,"Adventure,Crime,Comedy,Kids",Glenn Close,"Cruella transforms into a good woman after she leaves prison. However, the sound of Big Ben causes her to go back to her devious ways and she decides to kidnap 102 Dalmatian puppies for a new coat.",english kids adventure emotional dogs  journey comedy resque animals friendship,English,4.8,https://www.disneyplus.com/movies/102-dalmatians/6Ljtg0iqG58i,
127,Because of Winn-Dixie,"Family, Comedy,Adventure,Kids",AnnaSophia Robb,"Ten-year-old Opal adopts an unkempt dog she finds at a supermarket and names it Winn-Dixie. Soon, Opal and Winn Dixie befriend people who teach Opal about her mother and life.",english adventure kids emotional dogs  journey lifelessons feelgood animals resque,English,6.4,https://www.amazon.in/Because-Winn-Dixie-Dave-Matthews/dp/B0009NZ2KG,
128,The Princess Diaries,"Family,Comedy,Royality,Drama,Kids",Anne Hathaway,"Mia, a shy teen, discovers that she's the princess of a small European state. To be able to claim her right to the throne, she must groom herself and prove that she is indeed a princess.",english adl family lifelessons feelgood uplifting comedy royality annehathaway princess,English,7.5,https://www.hotstar.com/in/movies/the-princess-diaries/1660010207,
129,The Princess Diaries 2:Royal Engagement,"Family,Comedy,Royality,Drama,Kids",Anne Hathaway,"Princess Mia is in a fix when Viscount Mabrey, an egocentric nobleman, hinders her coronation stating that an unmarried woman cannot become a queen. However, Mia and her grandmother devise a plan.",english adl family lifelessons feelgood uplifting comedy royality annehathaway bond queen princess,English,7.8,https://www.hotstar.com/in/movies/the-princess-diaries-2-royal-engagement/1660010203,
130,The Devil Wears Prada,"Comedy, Drama,Kids",Anne Hathaway,"With an aspiration to become a journalist, Andy, a young graduate, travels to New York. She starts working as an assistant to one of the city's biggest magazine editors, the cynical Miranda Priestly.",english adl family journey lifelessons uplifting comedy annehathaway,English,6.9,https://www.hotstar.com/in/movies/the-devil-wears-prada/1770000745,
131,Ice Princess,"Family,Sport ,Adventure,Kids",Michaela du Toit,"Casey wants to become a popular ice skater, but her mother wants her to excel in academics. In order to not upset her mother, she takes up secret training sessions to participate in a competition.",english adl family sport uplifting comedy ice princess,English,6,https://www.disneyplus.com/movies/ice-princess/5EIJPqzrpOQi,
132,Ice Girls,"Comedy, Sport, Adventure,Kids",Michaela du Toit,"Mattie, an injured ice skater, requests Mercury, a coach, to train her so that she succeeds professionally. But Mercury coaches Heather, the daughter of Rose, who had been Mattie's mom's skating foe.",english adl sport uplifting comedy princess ice ,English,6.5,https://www.amazon.com/Ice-Girls-Michaela-du-Toit/dp/B09F3N7KGR,
133,Hridayam,"Romance , Musical, Drama",Pranav Mohanlal,"Arun, a young man, enrols in an engineering college but falls prey to bad habits. As he grows up, he decides to turn over a new leaf and become a responsible adult.",malayalam romance student drama pranav love journey feelgood family,Malayalam,8.1,https://www.hotstar.com/in/movies/hridayam/1260083403/watch,
134,Varshangalkk Sushesham,"Drama,Romance",Pranav Mohanlal,Two young men leave their hometown to chase their dream of becoming big in the world of 1970s and '80s South Indian cinema.,malayalam romance musical drama pranav love journey feelgood family,Malayalam,6.7,https://www.sonyliv.com/movies/varshangalkku-shesham-malayalam-1000278179,
135,Major,"Romance,Suspense,Thriller",Adivi Shesh,Major Sandeep Unnikrishnan faces his biggest battle when he joins the task force to save the occupants at the Taj Hotel attacked by a terrorist group.,hindi romance drama  love  feelgood family journey adventure,Malayalam,6.9,https://www.netflix.com/title/81273582,
136,OK Kanmani,"Romance , Musical, Drama",Dulquer Salmaan,"Two youngsters Adi and Tara are attracted to each other when they meet at a wedding. Since they do not believe in marriage, they decide to live together. What follows forms the crux of the story.",malayalam romance comedy drama dulquer love feelgood family,Malayalam,7.4,https://www.primevideo.com/detail/Ok-Kanmani/0FFOWHH5CL9EFL55LJ90Y6982Y,
137,Premam,"Romance, Drama",Nivin Pauly,"While George's first love turns out to be a disappointment, Malar, a college lecturer, rekindles his love interest. His romantic journey takes him through several stages, helping him find his purpose.",malayalam romance  drama  love journey feelgood family trueself nivin comedy,Malayalam,8.3,https://www.hotstar.com/in/movies/premam/1000091195,
138,Banglore Days,"Romance, Drama, Comedy","Dulquer Salmaan, Nivin Pauly","Cousins, Divya, Kuttan and Arjun, fulfil their childhood dream of relocating to Bangalore. As they embrace the warmth of the city, they also face challenges that transform their lives.",malayalam romance comedy drama dulquer nivin love feelgood  friendship adventure student,Malayalam,8.5,https://www.hotstar.com/in/movies/bangalore-days/1000081352/watch,
139,Premalu,"Romance, Drama, Comedy",Naslen K. Gafoor,"Charm and chaos collide in Sachin's whimsical quest for Reenu's heart. Amidst mishaps and mischief, can he find the key to unlock true love's door?",malayalam romance comedy drama love feelgood friendship adventure,Malayalam,7.9,https://www.hotstar.com/in/movies/premalu/1271295279,
140,4 Years,"Romance , Musical, Drama",Sarjano Khalid,A turbulent romance blooms between engineering students Vishal and Gayathri over four years. The fate of their relationship depends on what happens on the final day of their college.,malayalam romance musical drama love journey feelgood student,Malayalam,5.2,https://www.primevideo.com/detail/4-Years/0P440JVU8ZLLCXZQIPM55PT8VH,
141,Manjummel Boys,"Adventure,Thriller,Suspense",Soubin Shahir,"Manjummel boys' adventure takes a dangerous turn when one of them plunges into Guna Caves, igniting a test of unity in a fight for survival.",malayalam adventure thriller suspense survival mystery friendship bond,Malayalam,8.3,https://www.hotstar.com/in/movies/manjummel-boys/1271305800,
142,Sita Ramam,"Romance,Musical,Drama",Dulquer Salmaan,"Upon returning to Pakistan, Afreen sets off to fulfil her grandfather's wish of delivering a letter from Ram to Sita. Along the way, she finds Ram and learns about their love story.",hindi romance musical drama dulquer love journey emotional family feelgood adventure,Hindi,9.5,https://www.hotstar.com/in/movies/sita-ramam/1260123526/watch,
143,Aavesham,"Action,Drama,Comedy",Fahadh Faasil,Three teens come to Bangalore for their engineering education and get involved in a fight. They find a local gangster to help them.,malayalam action comedy drama suspense feelgood friendship adventure,Malayalam,7.9,https://www.primevideo.com/detail/Aavesham/0GJ790Y5AGTQU6J8OZR8KG4TOH,
201,Kantara,"Action, Thriller",Rishab Shetty,"A fiery young man clashes with an unflinching forest officer in a south Indian village where spirituality, fate and folklore rule the lands.",kannada action thriller rishabshetty forest spirituality folklore,Kannada,8.2,https://www.primevideo.com/dp/amzn1.dv.gti.63d1b1bd-3a4f-4f26-bb67-a82454b11929?autoplay=0&ref_=atv_cf_strg_wb,
202,Garuda Gamana Vrishabha Vahana,"Crime, Thriller","Rishab Shetty, Raj B Shetty","Childhood friends Shiva and Hari grow up to become two of the most feared gangsters in the coastal city of Mangaluru. However, their friendship is put to the test by greed and politics.",kannada crime thriller rishabshetty rajbshetty gangster friendship politics,Kannada,8.3,https://www.zee5.com/movies/details/garuda-gamana-vrishabha-vahana/0-0-1z571846,
203,Bell Bottom,"Comedy, Thriller",Rishab Shetty,"Divakara, the son of a policeman, aspires to be a detective since his childhood. When he becomes a constable, he finally gets his chance at being a detective to solve a robbery case.",kannada comedy thriller rishabshetty investigation robbery officer,Kannada,8.1,https://www.aha.video/movie/bell-bottom,
204,Vikrant Rona,"Thriller, Action, Adventure",Kiccha Sudeep,"When Vikrant Rona sets off to investigate a gruesome murder, a series of tragic deaths leads him to discover a supernatural connection. With varying signals and clues, Vikrant must find the killer.",kannada thriller action adventure kicchasudeep officer investigation tragedy,Kannada,7,https://www.zee5.com/movies/details/vikrant-rona/0-0-1z5206541,
205,Eega,"Action, Comedy",Kiccha Sudeep,"Nani loves Bindu but is killed by a jealous Sudeep, who lusts after Bindu. Nani is reincarnated as a fly and decides to avenge his death. He teams up with Bindu to make Sudeep's life a living hell.",telugu action comedy kicchasudeep love lust revenge,Telugu,7.7,https://www.hotstar.com/in/movies/eega/1260142094?utm_source=gwa,
206,Baahubali: The Beginning,"Action, Fantasy",Prabhas,"In the kingdom of Mahishmati, Shivudu falls in love with a young warrior woman. While trying to woo her, he learns about the conflict-ridden past of his family and his true legacy.",telugu action fantasy prabhas rajamouli family  war,Telugu,8,https://www.hotstar.com/in/movies/baahubali-the-beginning/1000074338?utm_source=gwa,
207,Baahubali 2: The Conclusion,"Action, Fantasy",Prabhas,"After learning that his father was brutally killed by Bhallaladeva, Mahendra Baahubali raises an army to defeat him and release his mother from the former's captivity.",telugu action fantasy prabhas rajamouli love legacy,Telugu,8.2,https://www.hotstar.com/in/movies/baahubali2-the-conclusion/1770016247?utm_source=gwa,
208,RRR,"Action, Adventure","Ram Charan, N T Rama Rao","A fearless revolutionary and an officer in the British force, who once shared a deep bond, decide to join forces and chart out an inspirational path of freedom against the despotic rulers.",telugu action adventure ramcharan ntramarao rajamouli revolutionary officer british force inspiration freedom,Telugu,7.8,https://www.zee5.com/movies/details/rrr/0-0-1z5145092,
209,Janatha Garage,"Action, Drama",N T Rama Rao,"Anand, an environmental activist, comes to Hyderabad to attend a seminar. An unexpected encounter with Sathyam, who runs an organization for the oppressed, changes his purpose in life.",telugu action drama ntramarao environment activist life ,Telugu,7.2,https://www.primevideo.com/dp/amzn1.dv.gti.78ce474c-84c2-4055-90aa-870439968641?autoplay=0&ref_=atv_cf_strg_wb,
210,Aravinda Sametha,"Action, Drama",N T Rama Rao,"A young man sets out to avenge his father's death but soon realises that violence is not the key to his salvation. His life changes when he meets a woman, who helps him rediscover himself.",telugu action drama ntramarao revenge violence ,Telugu,7.3,https://www.zee5.com/movies/details/aravinda-sametha/0-0-348372,
211,Nannaku Prematho,"Action, Thriller",N T Rama Rao,"Abhiram, son of a businessman, learns that his father once lost all his wealth because of a cunning man Krishnamurthy Kautilya. He decides to seek revenge on Krishnamurthy and take away his fortune.",telugu action thriller drama ntramarao revenge father fortune business,Telugu,7.5,https://www.hotstar.com/in/movies/anbudan-appavukku/1260013370?utm_source=gwa,
212,Jailer,"Action, Comedy",Rajinikanth,"Muthuvel Pandian, a stern yet compassionate jailer, sets out to stop a gang when they try to flee their leader from prison.",tamil action comedy rajinikanth jailer gangster leader prison compassion investigation mafia,Tamil,7.1,https://www.primevideo.com/dp/amzn1.dv.gti.e6c3bee4-fea9-4d10-ac7b-61dd7f026d47?autoplay=0&ref_=atv_cf_strg_wb,
213,Leo,"Action, Thriller",Vijay Thalapathy,"Things start to take an awry turn for a mild-mannered cafe owner, who gets caught in the crosshairs of a drug cartel.",tamil action thriller vijaythalapathy violence gangster criminal family drugs,Tamil,7.2,https://www.netflix.com/in/title/81639323?source=35,
214,Master,"Action, Thriller",Vijay Thalapathy,"An alcoholic professor is enrolled to teach at a juvenile facility, unbeknownst to him. He soon clashes with a ruthless gangster, who uses the children as scapegoats for his crimes.",tamil action thriller vijaythalapathy professor crime criminal gangster children ,Tamil,7.4,https://www.zee5.com/movies/details/vijay-the-master/0-0-360780,
215,Beast,"Action, Thriller, Comedy",Vijay Thalapathy,"Former RAW agent Veera must face his fears when a terrorist organisation holds him hostage in a mall along with other visitors and demands the release of their leader, who was captured by Veera.",tamil action thriller comedy vijaythalapathy agent hostage mall leader politics demand,Tamil,5.2,https://www.sunnxt.com/tamil-movie-beast-2022/detail/80589,
216,Bigil,"Action, Sport",Vijay Thalapathy,"Michael, an aggressive young man, gives up his dream of becoming a footballer after his father's murder. However, a friend convinces him to coach a women's football team and turn his life around.",tamil action sport vijaythalapathy young dream football woman life ,Tamil,6.7,https://www.primevideo.com/dp/amzn1.dv.gti.e6b74789-b2ec-014a-32bc-9c02b865b34b?autoplay=0&ref_=atv_cf_strg_wb,
217,Maharaja,"Action, Thriller",Vijay Sethupathi,"A barber seeks vengeance after his home is burglarized, cryptically telling police his ""lakshmi"" has been taken, leaving them uncertain if it's a person or object. His quest to recover the elusive ""lakshmi"" unfolds.",tamil action thriller vijaysethupathi revenge officer police uncertain,Tamil,8.7,https://www.netflix.com/in/title/81690671?source=35,
218,KGF: Chapter 1,"Action, Thriller",Yash,"Rocky, a young man, seeks power and wealth in order to fulfil a promise to his dying mother. His quest takes him to Mumbai, where he gets involved with the notorious gold mafia.",kannada action thriller kgf power wealth yash mother gold mafia gangster promise leader,Kannada,8.2,https://www.primevideo.com/detail/KGF-Chapter-1-Kannada/0PHYD1GGVJ9T12NPLGCID0PUHV,
219,KGF: Chapter 2,"Action, Thriller",Yash,"Rocky successfully rises as the leader and saviour of the people of the Kolar Gold Fields. But, in his goal to fulfil his mother's wishes, Rocky must tackle Adheera, Inayat Khalil and Ramika Sen.",kannada action thriller kgf power wealth yash suspense gold mafia gangster promise leader,Kannada,8.3,https://www.primevideo.com/detail/KGF-Chapter-2-Kannada/0TAARXHU6YZR574455ZKCKYSOC,
220,The Hangover,"Comedy, Mystery, Adventure","Zach Galifianakis, Bradley Cooper, Todd Phillips, Ken Jeong","The Hangover is a series of American comedy films created by Jon Lucas and Scott Moore, and directed by Todd Phillips. All three films follow the misadventures of a quartet of friends who go on their road trip to attend a bachelor party.",english comedy mystery bradleycooper tottphillips kenjeong hangover jonlucas scottmoore adventure friendship party trip road ,English,7.7,https://www.jiocinema.com/movies/the-hangover/3759360/watch?utm_source=WatchAction&utm_medium=MovieWatchAction&utm_campaign=the-hangover,
221,The Hangover Part II,"Comedy, Mystery, Adventure","Zach Galifianakis, Bradley Cooper, Todd Phillips, Ken Jeong","After the bachelor party in Las Vegas two years ago, Phil, Stu, Alan, and Doug head to Thailand for Stu's wedding. However, things go awry when Stu's soon-to-be brother-in-law goes missing.",english comedy mystery zachgalifianakis bradleycooper tottphillips kenjeong hangover jonlucas scottmoore adventure friendship party trip road fun,English,6.5,https://www.jiocinema.com/movies/the-hangover-part-ii/3759359/watch?utm_source=WatchAction&utm_medium=MovieWatchAction&utm_campaign=the-hangover-part-ii,
222,The Hangover Part III,"Comedy, Mystery, Adventure","Zach Galifianakis, Bradley Cooper, Todd Phillips, Ken Jeong","The Wolfpack decides to help Alan after he faces a major crisis in his life. However, when one of them is kidnapped by a gangster in exchange for Chow, a prisoner on the run, they must find him.",english comedy mystery  tottphillips kenjeong  jonlucas scottmoore adventure friendship party trip road fun,English,5.8,https://www.primevideo.com/dp/amzn1.dv.gti.06a9f695-6d08-e178-6e26-8e98b6945b7b?autoplay=0&ref_=atv_cf_strg_wb,
223,Guardians Of The Galaxy ,"Action, Scifi, Dark Humour, Superhero, Alien ","James Gunn, Chris Pratt, Zoe Saldana, Vin Diesel",A bunch of skilled criminals led by brash adventurer Peter Quill join hands to fight a villain named Ronan the Accuser who wants to control the universe with the help of a mystical orb.,english marvel action scifi darkhumour superhero alien jamesgunn chrispratt  criminal adventure fight villian universe mystical,English,8,https://www.hotstar.com/in/movies/guardians-of-the-galaxy/1260018294?utm_source=gwa,
224,Guardians Of The Galaxy: Vol 2,"Action, Scifi, Dark Humour, Superhero, Alien ","James Gunn, Chris Pratt, Zoe Saldana, Vin Diesel","The Sovereign attacks the Guardians when Rocket steals the batteries. Peter's father rescues the Guardians, and they set out to discover Peter's true parentage.",english marvel action scifi darkhumour superhero alien jamesgunn chrispratt zoesaldana vindiesel criminal adventure fight villian universe mystical,English,7.6,https://www.hotstar.com/in/movies/guardians-of-the-galaxy-vol-2/1260018295?utm_source=gwa,
225,Guardians Of The Galaxy: Vol 3,"Action, Scifi, Comedy, Superhero, Adventure","James Gunn, Chris Pratt, Zoe Saldana, Vin Diesel","Still reeling from the loss of Gamora, Peter Quill must rally his team to defend the universe and protect one of their own. If the mission is not completely successful, it could possibly lead to the end of the Guardians as we know them.",english marvel action scifi darkhumour superhero alien zoesaldana vindiesel criminal adventure fight villian universe mystical,English,7.9,https://www.hotstar.com/in/movies/guardians-of-the-galaxy-vol-3/1260143699?utm_source=gwa,
226,The Guardians Of The Galaxy: Holiday Special,"Action, Scifi, Comedy, Superhero, Adventure","James Gunn, Chris Pratt, Zoe Saldana, Vin Diesel",The Guardians are on a mission to make Christmas unforgettable for Quill and head to Earth in search of the perfect present.,english marvel action scifi darkhumour superhero alien jamesgunn chrispratt zoesaldana vindiesel criminal adventure fight villian universe mystical,English,6.9,https://www.hotstar.com/in/movies/the-guardians-of-the-galaxy-holiday-special/1260111097?utm_source=gwa,
227,The Incredible Hulk,"Action, Scifi, Superhero, Adventure","Edward Norton, Lou Ferrigno, Tim Roth, Liv Tyler","Dr Bruce Banner subjects himself to high levels of gamma radiation, which triggers his transformation into a huge green creature, the Hulk, whenever he experiences negative emotions such as anger.",english marvel action scifi superhero adventure edwardnorton louferrigno timroth livtyler gamma radiation green transformation anger negative huge,English,6.6,https://www.hotstar.com/in/movies/the-incredible-hulk/1000046231?utm_source=gwa,
228,Iron Man,"Action, Scifi, Adventure","Robert Downey Jr., Gwyneth Paltrow, Terrence Howard, Jeff Bridges","After being held captive in an Afghan cave, billionaire engineer Tony Stark creates a unique weaponized suit of armor to fight evil.",english marvel action scifi adventure robertdowney gwynethpaltrow terrence billiobaire engineer armor fight evil ironman,English,7.9,https://www.hotstar.com/in/movies/iron-man/1660000038?utm_source=gwa,
229,Iron Man 2,"Action, Scifi, Adventure","Robert Downey Jr., Mickey Rourke, Gwyneth Paltrow, Don Cheadle","With the world now aware of his identity as Iron Man, Tony Stark must contend with both his declining health and a vengeful mad man with ties to his father's legacy.",english marvel action scifi adventure robertdowney gwynethpaltrow mickeyrourke doncheadle ironman tonystark revenge legacy,English,7,https://www.hotstar.com/in/movies/iron-man-2/1660000039?utm_source=gwa,
230,Iron Man 3,"Action, Scifi, Adventure","Robert Downey Jr., Guy Pearce, Gwyneth Paltrow, Don Cheadle","When Tony Stark's world is torn apart by a formidable terrorist called the Mandarin, he starts an odyssey of rebuilding and retribution.",english marvel action scifi adventure robertdowney gwynethpaltrow doncheadle ironman tonystark guypearce terrorist mandarin retribution,English,7.2,https://www.hotstar.com/in/movies/iron-man-3/1660000042?utm_source=gwa,
231,Thor,"Action, Scifi, Adventure, Fantasy","Chris Hemsworth, Anthony Hopkins, Natalie Portman, Tom Hiddleston","The powerful but arrogant god Thor (Chris Hemsworth) is cast out of Asgard to live amongst humans in Midgard (Earth), where he soon becomes one of their finest defenders.",english marvel action scifi adventure fantasy chrishemsworth anthonyhopkins natalieportman tomhiddleston power thor earth defender,English,7,https://www.hotstar.com/in/movies/thor/1660000044?utm_source=gwa,
232,Thor: The Dark World,"Action, Adventure, Fantasy","Chris Hemsworth, Natalie Portman, Tom Hiddleston","When Dr. Jane Foster (Natalie Portman) gets cursed with a powerful entity known as the Aether, Thor is heralded of the cosmic event known as the Convergence and the genocidal Dark Elves.",english marvel action adventure fantasy chrishemsworth natalieportman tomhiddleston power thor aether cosmic darkelves,English,6.9,https://www.hotstar.com/in/movies/thor-the-dark-world/1260018142?utm_source=gwa,
233,Thor: Ragnarok,"Action, Adventure, Fantasy, Comedy, Scifi","Chris Hemsworth, Tom Hiddleston, Cate Blanchett, Mark Ruffalo","Thor (Chris Hemsworth) is imprisoned on the planet Sakaar, and must race against time to return to Asgard and stop Ragnarok, the destruction of his world, at the hands of the powerful and ruthless villain Hela (Cate Blanchett).",english marvel action scifi adventure fantasy comedy chrishemsworth tomhiddleston cateblanchett markruffalo thor planet ragnarok destruction power villain ruthless,English,7.9,https://www.hotstar.com/in/movies/thor-ragnarok/1660010577?utm_source=gwa,
234,The Avengers,"Action, Adventure, Scifi","Robert Downey Jr., Chris Evans, Scarlett Johansson, Jeremy Renner",Earth's mightiest heroes must come together and learn to fight as a team if they are going to stop the mischievous Loki and his alien army from enslaving humanity.,english marvel action adventure scifi robertdowney chrisevans scarlettjohansson jeremyrenner earth superhero fight team loki alien humanity,English,8.1,https://www.hotstar.com/in/movies/marvels-the-avengers/1660000015?utm_source=gwa,
